char	Radical	Four Corner Code	Cangjie input code	Cangjie input code (Chinese)	Hanyu Da Zidian	Kang Xi	Remembering the Traditional Hanzi	RTH keyword	Remembering the Simplified Hanzi	RSH keyword
絫	120 缶	2390.3	IIIF	戈戈戈火	53400.110	0923.130				
絬	120 缶		VFHJR	女火竹十口	53393.080	0923.140				
絭	120 缶	9090.3	FQVIF	火手女戈火	53399.050	0923.160				
絮	120 缶	4690.3	VRVIF	女口女戈火	53400.070	0923.170	2300	long-winded	2422	long-winded
絯	120 缶	2098.2	VFYVO	女火卜女人	53398.040	0923.180				
絰	120 缶	2191.3 2191.4	VFMIG	女火一戈土	53392.090	0923.190				
統	120 缶	2091.3	VFYIU	女火卜戈山	53398.050	0924.020	1010	continuum		
絲	120 缶	2299.3	VFVIF	女火女戈火	53401.010	0924.030	1005	silk		
絳	120 缶	2795.4	VFHEQ	女火竹水手	53395.080	0924.040				
絴	120 缶		VFTQ	女火廿手	53399.030	0924.130				
絵	120 缶	2893.1	VFOMI	女火人一戈	53394.101	0924.161				
絶	120 缶	2791.7	VFNAU	女火弓日山	53396.041	0924.161				
絷	120 缶	5590	QIVIF	手戈女戈火	53391.020	0924.161				
絸	120 缶		VFBUU	女火月山山	53404.040	0924.170				
絹	120 缶	2692.7	VFRB	女火口月	53404.070	0924.210				
絺	120 缶	2492.7	VFKKB	女火大大月	53405.130	0924.220				
絻	120 缶	2791.6	VFNAU	女火弓日山	53406.050	0924.230				
絼	120 缶	2292.2	VFBSH	女火月尸竹	53406.030	0924.240				
絽	120 缶	2696.0	VFRHR	女火口竹口	53404.110	0924.250				
絾	120 缶		VFIHS	女火戈竹尸	53392.060	0924.260				
絿	120 缶	2393.2	VFIJE	女火戈十水	53401.070	0924.280				
綀	120 缶	2599.6	VFDL	女火木中	53402.020	0924.310				
綁	120 缶	2792.7	VFQJL	女火手十中	53389.050	0924.340	2742	truss		
綂	120 缶		VFYRU	女火卜口山	53407.040	0924.350				
綃	120 缶	2992.7	VFFB	女火火月	53404.010	0924.360				
綄	120 缶	2391.1	VFJMU	女火十一山	53407.130	0925.010				
綅	120 缶	2794.7	VFSME	女火尸一水	53407.150	0925.030				
綆	120 缶	2194.6	VFMLK	女火一中大	53401.090	0925.040				
綇	120 缶		XVFMC	難女火一金	53402.050	0925.060				
綈	120 缶	2892.7	VFCNH	女火金弓竹	53407.090	0925.070				
綉	120 缶	2292.7	VFHDS	女火竹木尸	53405.030	0925.090				
綊	120 缶		VFKOO	女火大人人	53402.090	0925.100				
綋	120 缶		VFJKI	女火十大戈	53407.140	0925.110				
綌	120 缶	2896.8	VFCOR	女火金人口	53405.160	0925.130				
綍	120 缶	2494.7	VFJBD	女火十月木	53401.080	0925.150				
綎	120 缶	2294.1	VFNKG	女火弓大土	53393.070	0925.160				
綏	120 缶	2294.4	VFBV	女火月女	53406.010	0925.170				
綐	120 缶		VFCRU	女火金口山	53405.150	0925.200				
綑	120 缶	2690.0	VFWD	女火田木	53404.060	0925.220				
綒	120 缶	2294.7	VFBND	女火月弓木	53405.110	0925.230				
經	120 缶	2191.1	VFMVM	女火一女一	53402.110	0925.240	1027	scripture		
綔	120 缶	4229.3	KSHVF	大尸竹女火	53402.080	0926.010				
綕	120 缶		VFGP	女火土心	53401.050	0926.020				
綖	120 缶	2191.1	VFNKM	女火弓大一	53393.100	0926.070				
綗	120 缶		VFBCR	女火月金口	53405.020	0926.080				
綘	120 缶		VFHEJ	女火竹水十	53407.010	0926.130				
継	120 缶	2991.9	VFVFD	女火女火木	53407.070	0926.201				
続	120 缶	2491.2	VFGBU	女火土月山	53401.051	0926.201				
綛	120 缶	2793.2	VFSIP	女火尸戈心	53408.051	0926.201				
綜	120 缶	2399.1	VFJMF	女火十一火	53419.080	0926.210	2319	sum up		
綝	120 缶	2499.0	VFDD	女火木木	53410.040	0926.230				
綞	120 缶	2291.4	VFHJM	女火竹十一	53427.100	0926.240				
綟	120 缶	2393.4	VFHSK	女火竹尸大	53420.080	0926.260				
綠	120 缶	2793.2	VFVNE	女火女弓水	53422.021	0926.270	1022	green		
綡	120 缶	2099.6	VFYRF	女火卜口火	53418.080	0926.310				
綢	120 缶	2792.0	VFBGR	女火月土口	53417.100	0926.320	2306	silk fabric		
綣	120 缶	2991.2	VFFQU	女火火手山	53419.050	0926.360				
綤	120 缶		SLVIF	尸中女戈火	53408.040	0926.370				
綥	120 缶		VFWML	女火田一中	53413.090	0926.400				
綦	120 缶	4490.0	TCVIF	廿金女戈火	53409.060	0926.410				
綧	120 缶	2094.7	VFYRD	女火卜口木	53418.090	0927.030				
綨	120 缶		VFTMC	女火廿一金	53409.050	0927.040				
綩	120 缶	2391.2	VFJNU	女火十弓山	53420.070	0927.060				
綪	120 缶	2592.7	VFQMB	女火手一月	53408.070	0927.080				
綫	120 缶	2395.3	VFII	女火戈戈	53412.070	0927.100				
綬	120 缶	3294.7	VFBBE	女火月月水	53417.040	0927.120				
維	120 缶	2091.4	VFOG	女火人土	53415.050	0927.150	1007	maintain		
綮	120 缶	3890.3	HKVIF	竹大女戈火	53421.020	0927.160				
綯	120 缶	2792.0	VFPOU	女火心人山	53418.030	0927.200				
綰	120 缶	2397.7	VFJRR	女火十口口	53420.030	0927.230				
綱	120 缶	2792.0	VFBTU	女火月廿山	53414.050	0927.240	2828	guidelines		
網	120 缶	2792.0	VFBTV	女火月廿女	53414.060	0928.010	1021	net		
綳	120 缶		VFBB	女火月月	53417.080	0928.020				
綴	120 缶	2794.7	VFEEE	女火水水水	53422.010	0928.030	2935	embellish		
綵	120 缶	2299.4	VFBD	女火月木	53417.030	0928.040				
綶	120 缶		XVFWD	難女火田木	53413.050	0928.050				
綷	120 缶	2094.8	VFYOJ	女火卜人十	53418.100	0928.060				
綸	120 缶	2892.7	VFOMB	女火人一月	53416.100	0928.070				
綹	120 缶	2896.4	VFHOR	女火竹人口	53418.060	0928.090				
綺	120 缶	2492.1	VFKMR	女火大一口	53411.030	0928.100				
綻	120 缶	2398.1	VFJMO	女火十一人	53420.010	0928.110				
綼	120 缶	2694.0	VFHHJ	女火竹竹十	53416.040	0928.130				
綽	120 缶	2194.6	VFYAJ	女火卜日十	53412.110	0928.140	2298	ample		
綾	120 缶	2494.7	VFGCE	女火土金水	53409.020	0928.160				
綿	120 缶	2692.7	VFHAB	女火竹日月	53416.020	0928.170	2303	continuous		
緀	120 缶	2594.4	VFJLV	女火十中女	53412.050	0928.180				
緁	120 缶	2598.1	VFJLO	女火十中人	53412.040	0928.190				
緂	120 缶	2998.9	VFFF	女火火火	53419.070	0928.200				
緃	120 缶		VFOOO	女火人人人	53417.020	0929.010				
緄	120 缶	2691.1	VFAPP	女火日心心	53413.060	0929.020				
緅	120 缶	2794.0	VFSJE	女火尸十水	53410.010	0929.030				
緆	120 缶	2692.7	VFAPH	女火日心竹	53413.080	0929.040				
緇	120 缶	2296.3	VFVVW	女火女女田	53422.030 53425.100	0929.050				
緈	120 缶		VFGTJ	女火土廿十	53409.040	0929.060				
緉	120 缶	2192.7	VFMLB	女火一中月	53411.010	0929.070				
緊	120 缶	7790.3	SEVIF	尸水女戈火	53410.080	0929.080	1019	tight		
緋	120 缶	2191.1	VFLMY	女火中一卜	53412.080	0929.090				
緌	120 缶	2294.4	VFHDV	女火竹木女	53415.020	0929.100				
緍	120 缶		VFHPA	女火竹心日	53418.020	0929.120				
緎	120 缶	2395.0	VFIRM	女火戈口一	53410.060	0929.130				
総	120 缶	2893.3	VFCIP	女火金戈心	53417.070	0929.240				
緐	120 缶		OYHVF	人卜竹女火	53415.021	0929.291				
緑	120 缶	2793.2	VFNME	女火弓一水	53421.040	0929.291				
緒	120 缶	2496.0	VFJKA	女火十大日	53408.140	0929.291	2322	inception		
緓	120 缶		VFTLK	女火廿中大	53410.031	0929.291				
緔	120 缶		VFFBR	女火火月口	53413.030	0929.291				
緕	120 缶	2092.4	VFYKL	女火卜大中	53418.091	0929.291				
緖	120 缶		XVFJK	難女火十大	53422.061	0929.300				
緗	120 缶	2690.0	VFDBU	女火木月山	53423.080	0929.330				
緘	120 缶	2395.0	VFIHR	女火戈竹口	53424.030	0930.020				
緙	120 缶	2495.6	VFTLJ	女火廿中十	53423.020	0930.030				
線	120 缶	2693.2	VFHAE	女火竹日水	53428.050	0930.050	1006	line		
緛	120 缶	2193.4	VFMBK	女火一月大	53425.060	0930.070				
緜	120 缶	2229.3	HBHVF	竹月竹女火	53428.040	0930.080				
緝	120 缶	2694.1	VFRSJ	女火口尸十	53426.040	0930.090				
緞	120 缶	2794.7	VFHJE	女火竹十水	53427.180	0930.100	2748	satin		
緟	120 缶	2291.4	VFHJG	女火竹十土	53427.150	0930.130				
締	120 缶	2092.7	VFYBB	女火卜月月	53430.140	0930.140	2308	conclude		
緡	120 缶	2796.4	VFRPA	女火口心日	53432.030	0930.150				
緢	120 缶		VFTW	女火廿田	53423.040	0930.160				
緣	120 缶	2793.2	VFVNO	女火女弓人	53433.070	0930.190	2321	reason		
緤	120 缶	2499.4	VFPTD	女火心廿木	53423.050	0930.200				
緥	120 缶		VFORD	女火人口木	53428.030	0931.020				
緦	120 缶	2693.0	VFWP	女火田心	53427.070	0931.030				
緧	120 缶	2896.1	VFTCW	女火廿金田	53430.190	0931.060				
編	120 缶	2392.7	VFHSB	女火竹尸月	53431.050	0931.080	1324	compile		
緩	120 缶	2294.7	VFBME	女火月一水	53429.100	0931.120	2324	unhurried		
緪	120 缶	2191.2	VFPMM	女火心一一	53431.030	0931.140				
緫	120 缶		VFPKP	女火心大心	53430.040	0931.150				
緬	120 缶	2196.0	VFMWL	女火一田中	53425.040	0931.180				
緭	120 缶		VFWB	女火田月	53427.050	0931.210				
緮	120 缶	2894.7	VFOAE	女火人日水	53427.151	0931.240				
緯	120 缶	2495.6	VFDMQ	女火木一手	53432.060	0931.260	2571	latitude		
緰	120 缶	2892.1	VFOMN	女火人一弓	53429.070	0931.270				
緱	120 缶	2793.4	VFONK	女火人弓大	53428.070	0931.280				
緲	120 缶	2992.0	VFBUH	女火月山竹	53426.020	0932.020				
緳	120 缶	0029.3	IQHF	戈手竹火	53430.120	0932.030				
練	120 缶	2599.6	VFDWF	女火木田火	53424.020	0932.040	1240	practice		
緵	120 缶		VFUCE	女火山金水	53430.010	0932.070				
緶	120 缶	2194.6	VFOMK	女火人一大	53428.020	0932.080				
緷	120 缶	2795.0	VFBJJ	女火月十十	53431.040	0932.100				
緸	120 缶		VFMWG	女火一田土	53423.140	0932.120				
緹	120 缶	2498.1	VFAMO	女火日一人	53425.160	0932.130				
緺	120 缶	2792.7	VFBBR	女火月月口	53414.070	0932.140				
緻	120 缶	2894.0	VFMGK	女火一土大	53435.070	0932.150	2314	delicate		
緼	120 缶		VFABT	女火日月廿	53426.070	0932.160				
緽	120 缶		VFYBC	女火卜月金	53425.120	0932.240				
緾	120 缶		VFMWG	女火一田土	53425.020	0932.310				
緿	120 缶		VFIRP	女火戈口心	53433.040	0932.360				
縀	120 缶		VFRSE	女火口尸水	53431.071	0933.061				
縁	120 缶	2793.2	VFNMO	女火弓一人	53431.072	0933.061				
縃	120 缶	2792.7	VFNOB	女火弓人月	53433.010	0933.061				
縄	120 缶	2691.6	VFWLU	女火田中山	53426.060	0933.061				
縅	120 缶	2395.0	VFIHV	女火戈竹女	53425.011	0933.061				
縆	120 缶		XVFPM	難女火心一	53431.020	0933.061				
縇	120 缶		VFJMM	女火十一一	53431.031	0933.061				
縈	120 缶	9990.3	FFBVF	火火月女火	53440.030	0933.090				
縉	120 缶	2196.1	VFMIA	女火一戈日	53434.080	0933.130				
縊	120 缶	2891.7	VFTCT	女火廿金廿	53439.080	0933.140				
縋	120 缶	2793.7	VFYHR	女火卜竹口	53429.020	0933.160				
縌	120 缶	2893.4	VFYTU	女火卜廿山	53440.010	0933.170				
縍	120 缶	2092.7	VFYBS	女火卜月尸	53439.060	0933.190				
縎	120 缶	2792.7	VFBBB	女火月月月	53436.040	0933.210				
縏	120 缶	2790.3	HEVIF	竹水女戈火	53437.170	0933.220				
縐	120 缶	2792.7	VFPUU	女火心山山	53438.040	0933.230				
縑	120 缶	2893.7	VFTXC	女火廿難金	53439.100	0933.260				
縒	120 缶	2891.1	VFTQM	女火廿手一	53439.070	0933.270				
縓	120 缶	2199.6	VFMHF	女火一竹火	53435.060	0933.280				
縔	120 缶	2799.4	VFEED	女火水水木	53440.130	0933.320				
縕	120 缶	2691.7	VFWOT	女火田人廿	53437.020	0933.330				
縖	120 缶	2396.1	VFJQR	女火十手口	53440.040	0933.350				
縗	120 缶	2093.2 2093.5	VFYWV	女火卜田女	53438.050	0933.370				
縘	120 缶		VFBVK	女火月女大	53437.150	0934.010				
縙	120 缶		VFTSJ	女火廿尸十	53434.020	0934.070				
縚	120 缶	2297.7	VFBHX	女火月竹難	53437.200	0934.090				
縛	120 缶	2394.2	VFIBI	女火戈月戈	53434.130	0934.100	2734	bind fast		
縜	120 缶	2698.6	VFRBC	女火口月金	53436.050	0934.120				
縝	120 缶	2498.1	VFJBC	女火十月金	53435.030	0934.140				
縞	120 缶	2092.7	VFYRB	女火卜口月	53438.070	0934.160				
縟	120 缶	2194.3	VFMVI	女火一女戈	53434.170	0934.180				
縠	120 缶	4794.7	GFHNE	土火竹弓水	32166.030	0934.190				
縡	120 缶	2394.1	VFJYJ	女火十卜十	53440.060	0934.200				
縢	120 缶	7929.3	BFQF	月火手火	32114.020	0934.220				
縣	120 缶	6299.3	BFHVF	月火竹女火	53435.110	0934.230	1462	county		
縤	120 缶	2599.3	VFQMF	女火手一火	53433.100	0935.050				
縥	120 缶	2499.4	VFQKD	女火手大木	53433.090	0935.060				
縦	120 缶	2898.1	XXVFH	難難女火竹	53437.140	0935.181				
縧	120 缶		VFOLD	女火人中木	53437.060	0935.181				
縨	120 缶		VFAFU	女火日火山	53435.111	0935.181				
縩	120 缶	2799.1	VFBOF	女火月人火	53447.020	0935.190				
縪	120 缶	2694.4	VFWTJ	女火田廿十	53435.090	0935.200				
縫	120 缶	2793.4	VFYHJ	女火卜竹十	53437.220	0935.210	2526	sew		
縬	120 缶		VFIHF	女火戈竹火	53442.060	0935.240				
縭	120 缶	2092.7	VFYUB	女火卜山月	53439.030	0935.260				
縮	120 缶	2396.1	VFJOA	女火十人日	53448.100	0935.270	2318	shrink		
縯	120 缶	2398.6	VFJMC	女火十一金	53448.080	0935.280				
縰	120 缶	2198.1	VFHOO	女火竹人人	53445.010	0935.300				
縱	120 缶	2898.1	VFHOO	女火竹人人	53445.020	0935.310	1486	vertical		
縲	120 缶	2699.3	VFWVF	女火田女火	53443.040	0935.340				
縳	120 缶	2594.3	VFJII	女火十戈戈	53441.090	0936.020				
縴	120 缶	2095.3	VFYVQ	女火卜女手	53448.040	0936.050				
縵	120 缶	2694.7	VFAWE	女火日田水	53443.010	0936.070				
縶	120 缶	4590.3	GIVIF	土戈女戈火	53441.040	0936.090				
縷	120 缶	2594.4	VFLWV	女火中田女	53442.120	0936.100				
縸	120 缶	2493.4	VFTAK	女火廿日大	53434.070	0936.140				
縹	120 缶	2199.1	VFMWF	女火一田火	53442.030	0936.150				
縺	120 缶	2593.0	VFYJJ	女火卜十十	53441.080	0936.160				
縻	120 缶	0029.3	IDVIF	戈木女戈火	53447.040	0936.170				
縼	120 缶	2898.1	VFYSO	女火卜尸人	53448.030	0936.200				
總	120 缶	2693.0	VFHWP	女火竹田心	53444.070	0936.210	1476	general		
績	120 缶	2598.6	VFQMC	女火手一金	53441.010	0936.230	1159	accomplishments		
縿	120 缶	2392.2	VFIIH	女火戈戈竹	53450.020	0936.250				
繀	120 缶	2291.4	VFUOG	女火山人土	53443.080	0936.260				
繁	120 缶	8890.3	OKVIF	人大女戈火	53444.030	0937.010	2310	numerous	2421	numerous
繂	120 缶	2094.3	VFYIJ	女火卜戈十	53448.050	0937.030				
繃	120 缶	2292.7	VFUBB	女火山月月	53443.090	0937.040				
繄	120 缶	7790.3	SEVIF	尸水女戈火	53442.050	0937.050				
繅	120 缶	2299.4	VFVVD	女火女女木	53450.030 53465.010	0937.060				
繆	120 缶	2792.2	VFSMH	女火尸一竹	53449.080	0937.080				
繇	120 缶	2279.3	BUHVF	月山竹女火	53446.060	0937.090				
繈	120 缶	2393.6	VFNII	女火弓戈戈	53455.081	0937.100				
繉	120 缶	2691.3	VFBUO	女火月山人	53442.110	0938.060				
繊	120 缶	2395.0	VFJIC	女火十戈金	53441.011	0938.141				
繋	120 缶	5790.3	XJEVI	難十水女戈	53441.071	0938.141				
繌	120 缶	2694.3	VFHCE	女火竹金水	53444.061	0938.141				
繍	120 缶	2592.7	XVFLL	難女火中中	53449.041	0938.141				
繎	120 缶		VFBKF	女火月大火	53453.150	0938.150				
繏	120 缶		VFRUC	女火口山金	53455.080	0938.180				
繐	120 缶	2593.3	VFJIP	女火十戈心	53451.090	0938.190				
繑	120 缶	2292.7	VFHKB	女火竹大月	53452.070	0938.230				
繒	120 缶	2896.6	VFCWA	女火金田日	53454.080	0938.250				
繓	120 缶	2694.7	VFASE	女火日尸水	53452.010	0938.280				
織	120 缶	2395.0	VFYIA	女火卜戈日	53453.170	0938.290	1020	weave		
繕	120 缶	2896.1	VFTGR	女火廿土口	53454.030	0938.340				
繖	120 缶	2894.0	VFTBK	女火廿月大	53451.060	0938.370				
繗	120 缶	2995.9	VFFDQ	女火火木手	53454.050	0939.020				
繘	120 缶	2792.7	VFNHB	女火弓竹月	53456.010	0939.030				
繙	120 缶	2296.9	VFHDW	女火竹木田	53453.120	0939.060				
繚	120 缶	2499.6	VFKCF	女火大金火	53451.130	0939.090				
繛	120 缶		QFYAJ	手火卜日十	53450.050	0939.100				
繜	120 缶	2894.6	VFTWI	女火廿田戈	53454.060	0939.110				
繝	120 缶	2792.0	VFANB	女火日弓月	53455.050	0939.130				
繞	120 缶	2491.1	VFGGU	女火土土山	53450.080	0939.140	2301	go around		
繟	120 缶	2695.6	VFRRJ	女火口口十	53452.030	0939.150				
繠	120 缶	3390.3	PPPF	心心心火	53455.020	0939.170				
繡	120 缶	2592.7	VFLX	女火中難	53462.060	0939.180	2332	embroidery		
繢	120 缶	2598.6	VFLMC	女火中一金	53452.020	0939.190				
繣	120 缶	2591.6	VFLGM	女火中土一	53455.040	0939.230				
繤	120 缶		XTBUF	難廿月山火	53451.040	0939.300				
繥	120 缶		VFGRR	女火土口口	53451.020	0939.310				
繦	120 缶	2393.6 2693.6	XVFNR	難女火弓口	53455.070	0940.031				
繧	120 缶	2193.1	VFMBI	女火一月戈	53451.141	0940.031				
繨	120 缶	2493.4	VFYGQ	女火卜土手	53451.031	0940.031				
繩	120 缶	2691.6 2791.7	VFRXU	女火口難山	53457.090	0940.040	2977	rope		
繪	120 缶	2896.6	VFOMA	女火人一日	53461.020	0940.060	2304	paint		
繫	120 缶	5790.3	JEVIF	十水女戈火	53456.150	0940.070	2315	fasten		
繬	120 缶		VFGOW	女火土人田	53456.120	0940.090				
繭	120 缶	4422.7	TBLI	廿月中戈	53320.020	0940.110	2312	cocoon		
繮	120 缶		VFMWM	女火一田一	53456.130	0940.170				
繯	120 缶	2693.2	VFWLV	女火田中女	53460.010	0940.200				
繰	120 缶	2699.4	VFRRD	女火口口木	53459.020	0940.210				
繱	120 缶		VFTPP	女火廿心心	53456.090	0940.230				
繲	120 缶	2795.2	VFNBQ	女火弓月手	53461.040	0940.240				
繳	120 缶	2894.0	VFHSK	女火竹尸大	53460.080	0940.280	2330	shell out		
繴	120 缶	7090.3	SJVIF	尸十女戈火	53462.080	0941.010				
繵	120 缶	2091.6	VFYWM	女火卜田一	53461.090	0941.040				
繶	120 缶	2093.6	VFYTP	女火卜廿心	53462.010	0941.100				
繷	120 缶	2593.2	VFTWV	女火廿田女	53459.010	0941.110				
繸	120 缶	2993.3	VFYTO	女火卜廿人	53454.070	0941.140				
繹	120 缶	2694.1	VFWLJ	女火田中十	53459.040	0941.150				
繺	120 缶	2893.4	VFNKF	女火弓大火	53461.070	0941.220				
繻	120 缶	2192.7	VFMBB	女火一月月	53463.060	0941.330				
繼	120 缶	2291.3 2991.9	VFVVI	女火女女戈	53464.130	0941.340	1033	carry on		
繽	120 缶	2398.6	VFJMC	女火十一金	53464.100	0942.020				
繾	120 缶	2593.7	VFYLR	女火卜中口	53458.030	0942.090				
繿	120 缶	2891.7	VFSIT	女火尸戈廿	53463.030	0942.120				
纀	120 缶	2393.4	VFOTO	女火人廿人	53464.020	0942.130				
纁	120 缶	2293.1	VFHGF	女火竹土火	53463.110	0942.140				
纂	120 缶	8890.3	HBUF	竹月山火	53463.120	0942.150				
纃	120 缶	2092.3	VFYX	女火卜難	53464.090	0942.251				
纄	120 缶		VFTYJ	女火廿卜十	53466.010	0942.251				
纅	120 缶		VFVID	女火女戈木	53466.130	0942.260				
纆	120 缶	2691.4	VFWGG	女火田土土	53466.100	0942.290				
纇	120 缶	9198.6	FFMBC	火火一月金	74392.090	0942.300				
纈	120 缶	2198.6	VFGRC	女火土口金	53465.060	0942.310				
纉	120 缶	2598.6	VFQOC	女火手人金	53465.040	0942.330				
纊	120 缶	2093.2	VFITC	女火戈廿金	53464.080	0942.360				
纋	120 缶	2194.7	VFMBE	女火一月水	53466.050	0942.370				
續	120 缶	2498.6	VFGWC	女火土田金	53465.070	0942.400	1009	continue		
纍	120 缶	6090.3	WWWF	田田田火	53466.080	0942.430				
纎	120 缶	2395.0	VFJIM	女火十戈一	53465.050	0943.020				
纏	120 缶	2091.4	VFIWG	女火戈田土	53467.030	0943.030	2313	wind around		
纐	120 缶	2198.6	VFYKC	女火卜大金	53467.031	0943.071				
纑	120 缶	2191.7	VFYPT	女火卜心廿	53467.140	0943.110				
纒	120 缶	2191.4	VFMWG	女火一田土	53467.100	0943.150				
纓	120 缶	2694.4	VFBCV	女火月金女	53468.140	0943.240				
纔	120 缶	2791.3	VFNRI	女火弓口戈	53469.050	0943.270				
纕	120 缶	2093.2	VFYRV	女火卜口女	53470.030	0943.280				
纖	120 缶	2395.0	VFOIM	女火人戈一	53469.040	0943.290	2566	fiber		
纗	120 缶	2292.7	VFUOB	女火山人月	53470.090	0943.350				
纘	120 缶	2598.6	VFHUC	女火竹山金	53471.050	0944.070				
纙	120 缶	2691.4	VFWLG	女火田中土	53471.040	0944.090				
纚	120 缶	2191.1	VFMMP	女火一一心	53471.030	0944.100				
纛	120 缶	5099.3	QMWYF	手一田卜火	53470.160	0944.110				
纜	120 缶	2891.6	VFSWU	女火尸田山	53472.040	0944.180	2439	cable		
纝	120 缶		VFWWF	女火田田火	53472.050	0944.210				
纞	120 缶		VFVFP	女火女火心	53472.120	0944.240				
纟	120 缶	2010	VVM	女女一	53361.012	0944.251				
纠	120 缶	2210	VMVL	女一女中	53362.030	0944.251			2560	entangle
纡	120 缶	2114	VMMD	女一一木	53363.010	0944.251				
红	120 缶	2111	VMM	女一一	53364.010	0944.251			1091	red
纣	120 缶	2410	VMDI	女一木戈	53364.040	0944.251				
纤	120 缶	2214	VMHJ	女一竹十	53364.090	0944.251			2372	fiber
纥	120 缶	2811	VMON	女一人弓	53364.110	0944.251				
约	120 缶	2712	VMPI	女一心戈	53366.010	0944.251			1092	make an appointment
级	120 缶	2714	VMNHE	女一弓竹水	53366.030	0944.251			1089	rank
纨	120 缶	2511	VMKNI	女一大弓戈	53366.050	0944.251				
纩	120 缶	2010	VMI	女一戈	53366.070	0944.251				
纪	120 缶	2711	VMSU	女一尸山	53367.010	0944.251			1090	epoch
纫	120 缶	2712	VMSHI	女一尸竹戈	53368.010	0944.251				
纬	120 缶	2512	VMQS	女一手尸	53369.030	0944.251			2595	latitude
纭	120 缶	2113	VMMMI	女一一一戈	53369.050	0944.251				
纮	120 缶		VMKI	女一大戈	53370.061	0944.251				
纯	120 缶	2511	VMPU	女一心山	53372.010	0944.251			2545	unadulterated
纰	120 缶	2211	VMPP	女一心心	53372.040	0944.251				
纱	120 缶	2912	VMFH	女一火竹	53373.040	0944.251			2375	yarn
纲	120 缶	2712	VMBK	女一月大	53373.070	0944.251			2541	guidelines
纳	120 缶	2412	VMOB	女一人月	53374.010	0944.251			2390	let in
纴	120 缶		VMHG	女一竹土	53374.060	0944.251				
纵	120 缶	2810	VMOO	女一人人	53375.040	0944.251			1094	vertical
纶	120 缶	2811	VMOP	女一人心	53375.050	0944.251				
纷	120 缶	2812	VMCSH	女一金尸竹	53375.100	0944.251			2386	disorderly
纸	120 缶	2214	VMHVP	女一竹女心	53376.010	0944.251			1372	paper
纹	120 缶	2014	VMYK	女一卜大	53376.050	0944.251			2714	design
纺	120 缶	2012	VMYHS	女一卜竹尸	53376.110	0944.251			2383	spin
纻	120 缶		VMJM	女一十一	53376.121	0944.251				
纼	120 缶		VMNL	女一弓中	53377.060	0944.251				
纽	120 缶	2711	VMNG	女一弓土	53378.010	0944.251			2948	New York
纾	120 缶	2712	VMNIN	女一弓戈弓	53378.050	0944.251				
线	120 缶	2315	VMIJ	女一戈十	53378.080	0944.251			1083	line
绀	120 缶	2417	VMTM	女一廿一	53378.130	0944.251				
绁	120 缶	2411	VMPT	女一心廿	53379.010	0944.251				
绂	120 缶	2314	VMIKE	女一戈大水	53379.100	0944.251				
练	120 缶	2519	VMKVC	女一大女金	53379.110	0944.251			1253	practice
组	120 缶	2711	VMBM	女一月一	53380.010	0944.251			1347	group
绅	120 缶	2510	VMLWL	女一中田中	53380.040	0944.251			2392	gentry
细	120 缶	2610	VMW	女一田	53381.010	0944.251			1093	fine
织	120 缶	2618	VMRC	女一口金	53382.030	0944.251			1082	weave
终	120 缶	2713	VMHEY	女一竹水卜	53385.010	0944.251			1088	end
绉	120 缶	2717	VMNSM	女一弓尸一	53385.040	0944.251				
绊	120 缶	2915	VMFQ	女一火手	53386.020	0944.251				
绋	120 缶	2512	VMLLN	女一中中弓	53387.010	0944.251				
绌	120 缶	2217	VMUU	女一山山	53387.070	0944.251				
绍	120 缶	2716	VMSHR	女一尸竹口	53388.020	0944.251			2374	acquaint
绎	120 缶	2715	VMEQ	女一水手	53388.060	0944.251				
经	120 缶	2711	VMNOM	女一弓人一	53388.070	0944.251			1096	scripture
绐	120 缶	2316	VMIR	女一戈口	53389.010	0944.251				
绑	120 缶	2712	VMQJL	女一手十中	53389.060	0944.251			2809	truss
绒	120 缶	2315	XVMIJ	難女一戈十	53390.010	0944.251			2378	down
结	120 缶	2416	VMGR	女一土口	53391.010	0944.251			1087	tie
绔	120 缶	2412	VMKMS	女一大一尸	53392.030	0944.251				
绕	120 缶	2511	VMJPU	女一十心山	53392.080	0944.251			2379	go around
绖	120 缶		VMMIG	女一一戈土	53392.100	0944.251				
绗	120 缶	2112	VMHON	女一竹人弓	53394.060	0944.251				
绘	120 缶	2813	VMOMI	女一人一戈	53394.100	0944.251			2385	paint
给	120 缶	2816	VMOMR	女一人一口	53395.010	0944.251			1086	give
绚	120 缶	2712	VMPA	女一心日	53395.070	0944.251				
绛	120 缶	2715	VMHEQ	女一竹水手	53395.090	0944.251				
络	120 缶	2716	VMHER	女一竹水口	53396.020	0944.251			2376	web
绝	120 缶	2711	VMNAU	女一弓日山	53397.010	0944.251			1333	discontinue
绞	120 缶	2014	VMYCK	女一卜金大	53398.010	0944.251			2394	wring
统	120 缶	2011	VMYIU	女一卜戈山	53399.010	0944.251			1085	continuum
绠	120 缶	2114	VMMLK	女一一中大	53402.010	0944.251				
绡	120 缶	2912	XVMFB	難女一火月	53404.020	0944.251				
绢	120 缶	2612	VMRB	女一口月	53404.080	0944.251			2398	tough silk
绣	120 缶	2212	VMHDS	女一竹木尸	53405.040	0944.251			2387	embroidery
绤	120 缶		VMCOR	女一金人口	53405.161	0944.251				
绥	120 缶	2214	VMBV	女一月女	53406.020	0944.251				
