char	Radical	Four Corner Code	Cangjie input code	Cangjie input code (Chinese)	Hanyu Da Zidian	Kang Xi	Remembering the Traditional Hanzi	RTH keyword	Remembering the Simplified Hanzi	RSH keyword
亲	117 竹⺮	0090	YTD	卜廿木	42707.070	0089.081			1190	relatives
亳	8 人亻	0071.4	YRBP	卜口月心	10287.090	0089.090				
亴	8 人亻		YRBN	卜口月弓	10290.040	0089.190				
亵	8 人亻	0073	YQIV	卜手戈女	10290.020	0089.191				
亶	8 人亻	0010.6	YWRM	卜田口一	10291.060	0089.200				
亸	30 囗		YDCWJ	卜木金田十	10293.091	0089.241				
亹	8 人亻	0010.7	YHBM	卜竹月一	10294.120	0090.010				
人	9 儿	8000.0	O	人	10101.100	0091.010	736	person	793	person
亻	9 儿	2020	XO	難人	10101.101	0091.011				
亼	9 儿		OM	人一	10102.020	0091.030				
亽	9 儿		XXOI	難難人戈	10103.021	0091.051				
亿	9 儿	2721	ON	人弓	10103.040	0091.051			2066	one hundred million
什	9 儿	2420.0	OJ	人十	10108.020	0091.060	743	what?	802	what?
仁	9 儿	2121.0	OMM	人一一	10107.010	0091.070	761	benevolence	820	benevolence
仂	9 儿	2422.7	OKS	人大尸	10110.020	0091.100				
仃	9 儿	2122.0	OMN	人一弓	10108.010	0091.110				
仄	9 儿	7128.0	MO	一人	10103.070	0091.120				
仅	9 儿		OE	人水	10110.040	0091.130			811	merely
仆	9 儿	2320.0	OY	人卜	10108.030	0091.140			2059	servant
仇	9 儿	2421.7	OKN	人大弓	10109.030	0091.150	1991	animosity	2055	animosity
仈	9 儿	2820.0	OC	人金	10109.010	0091.160				
仉	9 儿	2721.0	OHN	人竹弓	10109.020	0091.170				
今	9 儿	8020.7	OIN	人戈弓	10105.050	0091.180	1186	now	1246	now
介	9 儿	8022.0	OLL	人中中	10103.090	0091.190	241	introduce	259	introduce
仌	9 儿		XOO	難人人	10105.020	0092.010				
仍	9 儿	2722.7	ONHS	人弓竹尸	10110.030	0092.020	751	still	809	still
从	9 儿	8800.0	OO	人人	10105.030	0092.030			846	follow
仏	9 儿	2223.0	XOI	難人戈	10110.050	0092.050				
仐	9 儿		XXOJ	難難人十	10103.061	0092.051				
仑	9 儿	8071	XXOP	難難人心	10105.040	0092.051				
仒	9 儿		XOY	難人卜	10105.041	0092.051				
仓	9 儿	8071	OSU	人尸山	10105.060	0092.051			1121	storehouse
仔	9 儿	2724.7	OND	人弓木	10115.050	0092.060	2001	meticulous	2067	meticulous
仕	9 儿	2421.0	OG	人土	10112.030	0092.070				
他	9 儿	2421.2	OPD	人心木	10115.060	0092.090	752	he	810	he
仗	9 儿	2520.0	OJK	人十大	10113.020	0092.100	2041	battle	2103	battle
付	9 儿	2420.0	ODI	人木戈	10112.050	0092.120	766	pay	825	pay
仙	9 儿	2227.0	OU	人山	10114.030	0092.130	2027	immortal	2092	immortal
仚	9 儿	8077.0	OU	人山	10111.070	0092.140				
仛	9 儿		OHP	人竹心	10114.060	0093.010				
仜	9 儿	2121.0	OM	人一	10112.040	0093.020				
仝	9 儿	8010.1	OM	人一	10111.020	0093.030				
仞	9 儿	2722.0	OSHI	人尸竹戈	10115.070	0093.040				
仟	9 儿	2224.0	OHJ	人竹十	10114.040	0093.050				
仠	9 儿		OMJ	人一十	10112.020	0093.060				
仡	9 儿	2821.7	OON	人人弓	10114.050	0093.070				
仢	9 儿		OPI	人心戈	10114.120	0093.100				
代	9 儿	2324.0	OIP	人戈心	10113.050	0093.110	769	substitute for	828	substitute for
令	9 儿	8030.7	OINI	人戈弓戈	10111.100	0093.120	1050	orders	1115	orders
以	9 儿	2810.0	VIO	女戈人	10105.070	0094.010	796	by means of	861	by means of
仦	9 儿		XXXOF	難難難人火	10114.010	0094.051				
仧	9 儿		YMO	卜一人	10111.040	0094.051				
仨	9 儿	2121.1	OMMM	人一一一	10112.010	0094.051				
仩	9 儿	2121.0	OYM	人卜一	10113.051	0094.051				
仪	9 儿	2420	OIK	人戈大	10114.080	0094.051			2550	rite
仫	9 儿	2223	OHI	人竹戈	10114.100	0094.051				
们	9 儿	2722	OLS	人中尸	10115.040	0094.051			1263	(plural)
仭	9 儿	2722.0 2725.0	XXOSK	難難人尸大	10115.071	0094.051				
仮	9 儿	2124.7	OHE	人竹水	10124.050	0094.060				
仯	9 儿		OFH	人火竹	10121.060	0094.070				
仰	9 儿	2722.0	OHVL	人竹女中	10125.030	0094.080	1255	look up to	1301	look up to
仱	9 儿	2822.7	OOIN	人人戈弓	10124.110	0094.090				
仲	9 儿	2520.6	OL	人中	10121.070	0094.110	1994	mid-	2058	mid-
仳	9 儿	2121.0	OPP	人心心	10121.010	0094.120				
仴	9 儿	2722.0	OB	人月	10124.150	0094.160				
仵	9 儿	2824.0	OOJ	人人十	10122.020	0094.170				
件	9 儿	2520.0	OHQ	人竹手	10122.030	0094.180	750	piece	808	piece
价	9 儿	2822.0	OOLL	人人中中	10124.070	0094.200			795	price
仸	9 儿		OHK	人竹大	10123.020	0094.210				
仹	9 儿		OQJ	人手十	10122.040	0094.220				
仺	9 儿		OSM	人尸一	10116.050	0094.230				
任	9 儿	2221.4	OHG	人竹土	10122.060	0094.240	793	appoint	853	appoint
仼	9 儿		XOMG	難人一土	10117.120	0094.250				
份	9 儿	2822.7	OCSH	人金尸竹	10124.120	0094.260	738	portion	796	portion
仾	9 儿		XOMVM	難人一女一	10121.020	0095.010				
仿	9 儿	2022.7	OYHS	人卜竹尸	10125.060	0095.020	2020	mimic	2086	mimic
伀	9 儿	2823.2	OCI	人金戈	10124.130	0095.030				
企	9 儿	8010.1	OYLM	人卜中一	10116.060	0095.040	358	look forward to	384	look forward to
伂	9 儿	2522.7	OJB	人十月	10119.010	0095.070				
伃	9 儿		ONIN	人弓戈弓	10128.010	0095.080				
伄	9 儿	2722.7	ONL	人弓中	10127.010	0095.090				
伅	9 儿	2521.7	OPU	人心山	10120.070	0095.100				
伆	9 儿		OPHH	人心竹竹	10125.010	0095.110				
伇	9 儿		OHNE	人竹弓水	10125.040	0095.120				
伈	9 儿	2320.0	OP	人心	10126.080	0095.130				
伉	9 儿	2021.7	OYHN	人卜竹弓	10126.010	0095.140				
伊	9 儿	2725.7	OSK	人尸大	10126.090	0095.150	883	Queen Elizabeth	958	Queen Elizabeth
伋	9 儿	2724.7	ONHE	人弓竹水	10125.050	0095.180				
伌	9 儿		OMSU	人一尸山	10120.040	0095.190				
伍	9 儿	2121.7	OMDM	人一木一	10118.010	0095.200	1990	V	2054	V
伎	9 儿	2424.7	OJE	人十水	10119.020	0095.210				
伏	9 儿	2323.4	OIK	人戈大	10119.040	0095.230	2009	bend over	2075	bend over
伐	9 儿	2325.0	OI	人戈	10120.080	0096.010	2012	fell	2079	fell
休	9 儿	2429.0	OD	人木	10117.180	0096.020	753	rest	812	rest
伒	9 儿	2222.1	OHML	人竹一中	10124.040	0096.060				
伓	9 儿	2129.0	OMF	人一火	10119.030	0096.080				
伔	9 儿	2721.0	OBHU	人月竹山	10126.070	0096.100				
伕	9 儿	2523.0	OQO	人手人	10117.140	0096.121				
伖	9 儿		OKE	人大水	10120.030	0096.121				
众	9 儿	8088	OOO	人人人	10117.070	0096.121			847	multitude
优	9 儿	2321.4	OIKU	人戈大山	10120.020	0096.121			821	excellent
伙	9 儿	2928.0	OF	人火	10126.030	0096.121	2007	mate	2072	mate
会	9 儿	8073.1	OMMI	人一一戈	10116.030	0096.121			677	meeting
伛	9 儿	2121	XOSK	難人尸大	10120.010	0096.121				
伜	9 儿	2424.1	OKNJ	人大弓十	10124.170	0096.121				
伝	9 儿	2123.1	OMMI	人一一戈	10117.160	0096.121				
伞	9 儿	8040	OFJ	人火十	10117.100	0096.121			1598	umbrella
伟	9 儿	2522	OQS	人手尸	10117.150	0096.121			1231	great
传	9 儿		OQNI	人手弓戈	10117.170	0096.121			1239	spread
伡	9 儿		OKQ	人大手	10120.041	0096.121				
伢	9 儿	2724.0	OMVH	人一女竹	10120.060	0096.121				
伣	9 儿		XOBHU	難人月竹山	10122.011	0096.121				
伤	9 儿	2822	OOKS	人人大尸	10124.010	0096.121			822	wound
伥	9 儿	2223	OPO	人心人	10124.020	0096.121				
伦	9 儿	2821	OOP	人人心	10124.100	0096.121			2083	human relationships
伧	9 儿	2821	OOSU	人人尸山	10124.140	0096.121				
伨	9 儿		OPIM	人心戈一	10124.160	0096.121				
伪	9 儿	2422	OIKS	人戈大尸	10126.040	0096.121			797	bogus
伫	9 儿	2321	OJM	人十一	10126.050	0096.121				
伬	9 儿	2623.7	OSO	人尸人	10126.091	0096.121				
伭	9 儿	2023.2	OYVI	人卜女戈	10138.040	0096.130				
伮	9 儿		OVE	人女水	10140.050	0096.140				
伯	9 儿	2620.0	OHA	人竹日	10136.020	0096.160	1993	father's older brother	2057	father's older brother
估	9 儿	2426.0	OJR	人十口	10129.150	0096.170	1995	estimate	2060	estimate
伱	9 儿		OOF	人人火	10136.050	0096.200				
伲	9 儿	2721	OSP	人尸心	10140.020	0096.210				
伳	9 儿	2421.7	OPT	人心廿	10129.130	0096.220				
