char	Radical	Four Corner Code	Cangjie input code	Cangjie input code (Chinese)	Hanyu Da Zidian	Kang Xi	Remembering the Traditional Hanzi	RTH keyword	Remembering the Simplified Hanzi	RSH keyword	~
亇	4 丿乀⺄		NN	弓弓	10032.022	0085.111					kwukyel (old Korean hanja-based script) for “hammer”
予	6 亅	1720.2	NINN	弓戈弓弓	10052.020	0085.160	936	bestow	1007	bestow	give: Embellishment of the phonetically similar character 呂.
争	6 亅	2750.7	NSD	弓尸木	10324.120	0085.201			951	contend	strife, quarrel: Simplified form of 爭.  Depicts two hands (爫 又) grabbing the same plow.
亊	6 亅	5000.7	JFLN	十火中弓	10021.111	0085.221					affair
事	6 亅	5000.7	JLLN	十中中弓	10023.030	0085.240	878	matter	953	matter	matter: The characters 史 (history), 吏 (government official), 使 (cause; use; instruct), and 事 (matter; work; affair) are all etymologically related and all derive from the same ancient character, depicting a hand (又) holding a container for writing utensils. 事 and 史 were originally written the same, but later an extra mark was added to distinguish them.
二	7 二	1010.0	MM	一一	10002.010	0086.010	2	two	2	two	two: Two horizontal strokes, representing the number two.
亍	7 二	1020.1	MMN	一一弓	10004.040	0086.050					to take small steps
于	7 二	1040.0	MD	一木	10004.050	0086.060	1230	Yu	1283	Yu	at: Pictograph of a musical wind instrument with a reed, which is now written as 竽. The current meaning is a phonetic loan.
亏	7 二	1002	XMMVS	難一一女尸	10005.010	0086.070			2286	loss	deficit, lose: Originally the same character as 于, depicting a musical wind instrument with a reed, which is now written as 竽. The current meaning is a phonetic loan.
亐	7 二		XXMKS	難難一大尸	10005.020	0086.071					
云	7 二	1073.1	MMI	一一戈	10384.020	0086.080	395	utter	428	cloud	clouds: Depicts a swirl of clouds up (上) in the sky.
互	7 二	1010.7	MVNM	一女弓一	10014.010	0086.090	629	mutual	681	mutual	mutual: Depicts two symmetric figures intertwining with each other.
亓	7 二	1022.1	MML	一一中	10010.030	0086.100					(archaic form) his
五	7 二	1010.7	MDM	一木一	10011.030	0086.110	5	five	5	five	five: Origin unclear. Originally an X-shape.
井	7 二	5500.0	TT	廿廿	10010.040	0086.140	1312	well	1360	well	well: Pictograph of the opening of a water well.
亖	7 二		MMMM	一一一一	10010.020	0087.010					four: Four horizontal strokes, representing the number four.
亗	7 二		UMM	山一一	10760.050	0087.030					
亘	7 二	1010.6	MAM	一日一	10017.160	0087.040					turn around, turn back: Originally written the same as 回 (return). Later lines were added above and below to distinguish the two characters.
亙	7 二	1010.6	MBM	一月一	10019.050	0087.070					extend across, constant: Depicts the moon (月) between the earth and the sky。
亚	1 一	1010	MTC	一廿金	10017.140	0087.081			1353	Asia	Asia: Simplified form of 亞.  Depicts a wooden structure where coffins are placed. Based on the original meaning "tomb". The current meaning "Asia" is a phonetic loan.
些	7 二	2110.1	YPMM	卜心一一	21441.080	0087.100	427	somewhat	461	somewhat	a few
亜	7 二	1010.6	XMLLM	難一中中一	10021.010	0087.111					Asia
亝	7 二		XIIIM	難戈戈戈一	10386.190	0087.120					even
亞	7 二	1010.7	MLLM	一中中一	10023.020	0087.130	1313	Asia			Asia: Depicts a wooden structure where coffins are placed. Based on the original meaning "tomb". The current meaning "Asia" is a phonetic loan.
亟	7 二	1010.4	MEM	一水一	10055.070	0087.140					urgently: Originally a pictograph of a person with lines at the top and bottom, depicting the original meaning "extremity". Later the 口 (mouth) and 又 (hand) components were added to depict shouting in an urgent situation, such as being chased.
亠	8 亠	0000.0	XY	難卜	10279.040	0088.020					head
亡	8 亠	0071.0	YV	卜女	10279.050	0088.030	457	deceased	490	deceased	death: Depicts the tip of a knife blade (刀). Similar in origin to 方. Based on the original meaning "tip of a blade", now written as 芒. The current meaning is a phonetic loan.
亢	8 亠	0021.7	YHN	卜竹弓	10280.010	0088.040					high: Pictograph of a person with a line through their legs. Original meaning unclear.
亣	8 亠		YLL	卜中中	10279.070	0088.050					
交	8 亠	0040.8	YCK	卜金大	10282.010	0088.060	969	mingle	1046	mingle	to cross: Pictograph of a person standing with crossed legs, conveying the meaning "to cross".
亥	8 亠	0080.2	YVHO	卜女竹人	10283.050	0088.080	1136	sign of the hog	1196	sign of the hog	12th terrestrial branch: Depicts roots of a plant. Based on the original meaning "roots", now written as 荄. The current meaning is a phonetic loan.
亦	8 亠	0033.0	YLNC	卜中弓金	10281.030	0088.090	1496	likewise	1491	likewise	also: Pictograph of a person, with two dots at the armpits. Based on the original meaning "armpit", now written as 腋. The current meaning is a phonetic loan.
产	117 立	0020	YTH	卜廿竹	10283.030	0088.111			1314	products	give birth: Simplified form of 產.  Phonosemantic compound. 生 represents the meaning and 彥 represents the sound. The traditional component 生 was removed for simplification.
亨	8 亠	0020.7	YRNN	卜口弓弓	10284.030	0088.120	1607	go smoothly	1638	go smoothly	smoothly
亩	8 亠	0060	YW	卜田	10284.020	0088.161			324	Chinese acre	Chinese land measure
亪	8 亠		YCMO	卜金一人	10284.031	0088.161					kwukyel
享	8 亠	0040.7	YRND	卜口弓木	10284.080	0088.170	297	enjoy	326	enjoy	enjoy: Originally a pictograph of a temple or a shrine. The meaning later shifted to "food offering" and "enjoy".
京	8 亠	0090.6	YRF	卜口火	10284.060	0088.190	301	capital	330	capital	capital city: Pictograph of a tall building. Similar to 高. Based on the original meaning "high place". The meaning of this character has shifted over time and now means "capital city".
亭	8 亠	0020.1	YRBN	卜口月弓	10286.020	0089.030	299	pavilion	328	pavilion	pavilion: Phonosemantic compound. 京 represents the meaning and 丁 represents the sound.
亮	8 亠	0021.7	YRBU	卜口月山	10286.030	0089.040	300	shiny	329	shiny	bright: Phonosemantic compound. 人 represents the meaning and 京 represents the sound. Depicts a person (人) in a high place (京).
亯	8 亠		YRA	卜口日	10285.050	0089.050					to receive: Variant of 享. Originally a pictograph of a temple or a shrine. The meaning later shifted to "food offering" and "enjoy".
亰	8 亠	0090.6	YAF	卜日火	10285.040	0089.070					
亲	117 立	0090	YTD	卜廿木	42707.070	0089.081			1190	relatives	relatives: Phonosemantic compound. 木 represents the meaning and 辛 represents the sound. Based on the original meaning "chestnut". This character was repurposed during character simplification as the simplified form of 親.
亳	8 亠	0071.4	YRBP	卜口月心	10287.090	0089.090					name of district in Anhui
亴	8 亠		YRBN	卜口月弓	10290.040	0089.190					
亵	8 亠	0073	YQIV	卜手戈女	10290.020	0089.191					slight: Hands grasping 执 and tearing apart a dress 衣
亶	8 亠	0010.6	YWRM	卜田口一	10291.060	0089.200					sincere
亸	30 口		YDCWJ	卜木金田十	10293.091	0089.241					read aloud
亹	8 亠	0010.7	YHBM	卜竹月一	10294.120	0090.010					progress
人	9 人亻	8000.0	O	人	10101.100	0091.010	736	person	793	person	person: Pictograph of the side view of a standing person.
亻	9 人亻	2020	XO	難人	10101.101	0091.011					person: 亻 is a component form of 人, which depicts a person.
亼	9 人亻		OM	人一	10102.020	0091.030					to assemble: Depicts an upside-down mouth (口).
亽	9 人亻		XXOI	難難人戈	10103.021	0091.051					kwukyel
亿	9 人亻	2721	ON	人弓	10103.040	0091.051			2066	one hundred million	hundred million: Phonosemantic compound. 亻 represents the meaning and 乙 represents the sound. Simplified form of 億. Based on the original meaning "quiet; at rest". The current meaning is a phonetic loan.
什	9 人亻	2420.0	OJ	人十	10108.020	0091.060	743	what?	802	what?	what: The character is based on the original meaning "file of ten soldiers". The modern meaning "what" is a phonetic loan.
仁	9 人亻	2121.0	OMM	人一一	10107.010	0091.070	761	benevolence	820	benevolence	humaneness: Depicts a kind relationship between two (二) people (亻). 亻 also represents the sound.
仂	9 人亻	2422.7	OKS	人大尸	10110.020	0091.100					surplus or excess
仃	9 人亻	2122.0	OMN	人一弓	10108.010	0091.110					lonely: Phonosemantic compound. 亻 represents the meaning and 丁 represents the sound.
仄	9 人亻	7128.0	MO	一人	10103.070	0091.120					slanting: 厂 represents a slanted cliff and 夨 represents a person with a tilted head, thus conveying the meaning "slanting".
仅	9 人亻		OE	人水	10110.040	0091.130			811	merely	only: Simplified from 僅. Phonosemantic compound. 亻 represents the meaning and 堇 represents the sound.
仆	9 人亻	2320.0	OY	人卜	10108.030	0091.140			2059	servant	to fall forward: Phonosemantic compound. 亻 represents the meaning and 卜 represents the sound. Simplified form of 僕.
仇	9 人亻	2421.7	OKN	人大弓	10109.030	0091.150	1991	animosity	2055	animosity	enemy: Phonosemantic compound. 亻 represents the meaning and 九 represents the sound.
仈	9 人亻	2820.0	OC	人金	10109.010	0091.160					
仉	9 人亻	2721.0	OHN	人竹弓	10109.020	0091.170					surname of the mother of Mencius
今	9 人亻	8020.7	OIN	人戈弓	10105.050	0091.180	1186	now	1246	now	now: Depicts a closed mouth. Upside-down 曰. The meaning "now" is a phonetic loan.
介	9 人亻	8022.0	OLL	人中中	10103.090	0091.190	241	introduce	259	introduce	to lie between: Depicts a person between two lines.
仌	9 人亻		XOO	難人人	10105.020	0092.010					: Old variant of 冰 ("ice-water")
仍	9 人亻	2722.7	ONHS	人弓竹尸	10110.030	0092.020	751	still	809	still	yet: Phonosemantic compound. 亻 represents the meaning and 乃 represents the sound.
从	9 人亻	8800.0	OO	人人	10105.030	0092.030			846	follow	from: Pictograph of one person following another.
